canonical_key,name_ko,district,merged_line_count,merged_lines,station_codes,coord_spread_m,name_variants,official_transfer_flag,transfer_line_match,operator_differs,ja_missing,zh_missing,decision,needs_review,review_reason
마포,마포,11440 마포구,1,5호선,0528,0,마포,N,n/a,false,false,false,single,false,
마포구청,마포구청,11440 마포구,1,6호선,0620,0,마포구청,N,n/a,false,false,false,single,false,
망원,망원,11440 마포구,1,6호선,0621,0,망원,N,n/a,false,false,false,single,false,
매봉,매봉,11680 강남구,1,3호선,0343,0,매봉,N,n/a,false,false,false,single,false,
먹골,먹골,11260 중랑구,1,7호선,0718,0,먹골,N,n/a,false,false,false,single,false,
면목,면목,11260 중랑구,1,7호선,0721,0,면목,N,n/a,false,false,false,single,false,
명동,명동,11140 중구,1,4호선,0424,0,명동,N,n/a,false,false,false,single,false,
명일,명일,11740 강동구,1,5호선,0551,0,명일,N,n/a,false,false,false,single,false,
목동,목동,11470 양천구,1,5호선,0520,0,목동,N,n/a,false,false,false,single,false,
몽촌토성,몽촌토성,11710 송파구,1,8호선,0813,0,몽촌토성 | 몽촌토성(평화의문) | 평화의문,N,n/a,false,false,false,single,false,
무악재,무악재,11410 서대문구,1,3호선,0325,0,무악재,N,n/a,false,false,false,single,false,
문래,문래,11560 영등포구,1,2호선,0235,0,문래,N,n/a,false,false,false,single,false,
문정,문정,11710 송파구,1,8호선,0818,0,문정,N,n/a,false,false,false,single,false,
미아,미아,11305 강북구,1,4호선,0415,0,미아 | 미아(서울사이버대학) | 서울사이버대학,N,n/a,false,false,false,single,false,
미아사거리,미아사거리,11305 강북구,1,4호선,0416,0,미아사거리,N,n/a,false,false,false,single,false,
반포,반포,11650 서초구,1,7호선,0733,0,반포,N,n/a,false,false,false,single,false,
발산,발산,11500 강서구,1,5호선,0515,0,발산,N,n/a,false,false,false,single,false,
방배,방배,11650 서초구,1,2호선,0225,0,방배,N,n/a,false,false,false,single,false,
방이,방이,11710 송파구,1,5호선,P551,0,방이,N,n/a,false,false,false,single,false,
방학,방학역,11320 도봉구,1,경원선,1901,0,방학역,N,n/a,false,true,true,single,false,
방화,방화,11500 강서구,1,5호선,0510,0,방화,N,n/a,false,false,false,single,false,
버티고개,버티고개,11140 중구,1,6호선,0632,0,버티고개,N,n/a,false,false,false,single,false,
보라매공원,보라매공원,11590 동작구,1,수도권 경량도시철도 신림선,S405,0,보라매공원,N,n/a,false,true,true,single,false,
보라매병원,보라매병원,11590 동작구,1,수도권 경량도시철도 신림선,S406,0,보라매병원,N,n/a,false,true,true,single,false,
봉은사,봉은사,11680 강남구,1,수도권  도시철도 9호선,4129,0,봉은사,N,n/a,false,false,false,single,false,
봉천,봉천,11620 관악구,1,2호선,0229,0,봉천,N,n/a,false,false,false,single,false,
봉화산,봉화산,11260 중랑구,1,6호선,0647,0,봉화산 | 봉화산(서울의료원) | 서울의료원,N,n/a,false,false,false,single,false,
북한산보국문,북한산보국문,11290 성북구,1,우이신설선,S118,0,북한산보국문,N,n/a,false,true,true,single,false,
북한산우이,북한산우이,11305 강북구,1,우이신설선,S110,0,북한산우이,N,n/a,false,true,true,single,false,
